iter	Logloss
0	0.6352847358
1	0.5813142502
2	0.5419726237
3	0.5141175252
4	0.4919181329
5	0.4805249239
6	0.4658241632
7	0.4503971564
8	0.444093155
9	0.4365258546
10	0.4311279599
11	0.4238952773
12	0.4200251648
13	0.4167029739
14	0.4137209844
15	0.4106205872
16	0.4081552394
17	0.405055792
18	0.4034473402
19	0.4002515067
20	0.3990623958
21	0.3978446353
22	0.3964023669
23	0.3949603791
24	0.3928099554
25	0.3918483602
26	0.3909211244
27	0.3891739864
28	0.3877249444
29	0.3866116519
30	0.3853548538
31	0.3847591597
32	0.3833932567
33	0.3826190252
34	0.3821105443
35	0.3811130015
36	0.3806811274
37	0.3801481815
38	0.3793872268
39	0.3786290127
40	0.3780762613
41	0.3775910892
42	0.3771784597
43	0.3765507146
44	0.3761473664
45	0.3756969327
46	0.3748929571
47	0.3745593033
48	0.3743304714
49	0.3742157429
50	0.3739403341
51	0.37349204
52	0.373207259
53	0.3729750282
54	0.372566226
55	0.3724012495
56	0.3722678711
57	0.3721249684
58	0.371900184
59	0.3712190999
60	0.3706840332
61	0.3705258895
62	0.3699231435
63	0.369303661
64	0.3691587153
65	0.3689410572
66	0.3688502354
67	0.3687998615
68	0.3686300264
69	0.3681450335
70	0.3680412443
71	0.3676659268
72	0.3675924755
73	0.3670671036
74	0.3669435511
75	0.366816346
76	0.3664044522
77	0.3661973294
78	0.3660470773
79	0.3658042247
80	0.3657143245
81	0.3655050037
82	0.3654147673
83	0.3651178721
84	0.3648449006
85	0.3646989756
86	0.3645282974
87	0.3644038795
88	0.3641266542
89	0.3640729062
90	0.3638480759
91	0.3637427272
92	0.3634215556
93	0.3631660422
94	0.3630284492
95	0.3629071187
96	0.3628061145
97	0.3626522433
98	0.3625907652
99	0.3623874613
100	0.3622962567
101	0.3622421169
102	0.3620644909
103	0.3619073646
104	0.3618168372
105	0.3617049661
106	0.3615479116
107	0.361474438
108	0.3614032017
109	0.3612918473
110	0.3612014526
111	0.36113123
112	0.3610555453
113	0.3609559461
114	0.3609316884
115	0.360879257
116	0.3608412039
117	0.3607844484
118	0.360703679
119	0.3605499008
120	0.3605099655
121	0.3604638241
122	0.3603463944
123	0.3602727943
124	0.3602105598
125	0.3601164001
126	0.3600821249
127	0.359999313
128	0.3599573412
129	0.3598402946
130	0.3597550693
131	0.3596883486
132	0.3595985238
133	0.3595285909
134	0.3594964815
135	0.3594629253
136	0.3593686753
137	0.3593334653
138	0.3593068468
139	0.3592575492
140	0.3591823933
141	0.3591583732
142	0.3591188214
143	0.3590565191
144	0.3590123336
145	0.3589960815
146	0.3589367732
147	0.3588681769
148	0.3588540002
149	0.3588056718
150	0.358750274
151	0.3587219204
152	0.3586558311
153	0.3585627506
154	0.3585275555
155	0.3585038698
156	0.3584680849
157	0.3584291621
158	0.3583701273
159	0.3583573364
160	0.3582850457
161	0.3582676907
162	0.3582208155
163	0.3581774741
164	0.3581559125
165	0.3581336102
166	0.3580801648
167	0.3580456686
168	0.3580202315
169	0.3579825359
170	0.3579451372
171	0.3578991198
172	0.3578748759
173	0.3578169593
174	0.3577669291
175	0.3577284267
176	0.3576698589
177	0.35765519
178	0.3576279783
179	0.3576119046
180	0.3575930857
181	0.3575828076
182	0.3575475106
183	0.3575169177
184	0.3574946997
185	0.3574826674
186	0.3574518239
187	0.3574241321
188	0.3574068174
189	0.3573736967
190	0.3573609924
191	0.3573516447
192	0.3573413862
193	0.3573138295
194	0.3572855471
195	0.3572641092
196	0.3572450789
197	0.3572257988
198	0.3571962421
199	0.3571661628
200	0.357123327
201	0.3571169827
202	0.3570714802
203	0.357060095
204	0.357028188
205	0.3570176871
206	0.3569542227
207	0.3569433747
208	0.3569208512
209	0.3568972068
210	0.3568596443
211	0.3568279398
212	0.3568095482
213	0.3567746541
214	0.3567597139
215	0.3567412085
216	0.3567345004
217	0.3567244205
218	0.356718345
219	0.3567115141
220	0.3566827565
221	0.3566646978
222	0.3566506878
223	0.3566357209
224	0.3566243677
225	0.3566179509
226	0.3565513231
227	0.356522385
228	0.3565161128
229	0.3564676597
230	0.3564512096
231	0.3564474244
232	0.3564148411
233	0.3563885577
234	0.3563800984
235	0.3563513586
236	0.3563457681
237	0.3563216602
238	0.3563077199
239	0.3562870996
240	0.3562746117
241	0.3562681706
242	0.3562600066
243	0.3562205787
244	0.3562075152
245	0.3562016704
246	0.3561961788
247	0.3561856104
248	0.3561780539
249	0.3561720493
250	0.3561426517
251	0.3561202431
252	0.3561100981
253	0.3560896909
254	0.3560740563
255	0.3560679124
256	0.3560639442
257	0.3560608629
258	0.3560547466
259	0.3560474753
260	0.3560243736
261	0.3560129352
262	0.3560028735
263	0.3559606286
264	0.3559511086
265	0.3559443496
266	0.3559265071
267	0.3559198468
268	0.3559045648
269	0.3559001636
270	0.3558961232
271	0.3558871924
272	0.3558817677
273	0.3558780717
274	0.3558716137
275	0.3558498843
276	0.355842192
277	0.3558377093
278	0.3558240087
279	0.3558143194
280	0.3557994658
281	0.3557811337
282	0.3557754699
283	0.3557713519
284	0.3557610657
285	0.3557532728
286	0.3557369918
287	0.3556966202
288	0.3556644087
289	0.3556419981
290	0.3556362401
291	0.3556275319
292	0.3555957439
293	0.3555896574
294	0.3555853595
295	0.3555795511
296	0.3555769327
297	0.3555616032
298	0.355557841
299	0.3555560625
300	0.3555538255
301	0.3555350686
302	0.3555271176
303	0.3555186603
304	0.3555055675
305	0.355470222
306	0.3554577181
307	0.3554252075
308	0.3554187838
309	0.3554083999
310	0.3554040189
311	0.3553936711
312	0.355368147
313	0.3553618195
314	0.3553491844
315	0.355344839
316	0.3553286804
317	0.3553251004
318	0.3553220994
319	0.3553149624
320	0.3553107859
321	0.3552962954
322	0.3552846271
323	0.3552290907
324	0.3552201539
325	0.3552076739
326	0.3551918376
327	0.3551811568
328	0.3551784369
329	0.3551742942
330	0.3551691789
331	0.3551642419
332	0.3551610149
333	0.3551528272
334	0.3551458327
335	0.3551262149
336	0.3551174989
337	0.3551015591
338	0.35509624
339	0.3550899769
340	0.3550829705
341	0.3550756781
342	0.3550468413
343	0.3550437446
344	0.3550406103
345	0.3550365785
346	0.3550319483
347	0.3550079068
348	0.3550058907
349	0.3550025785
350	0.3549905946
351	0.3549863221
352	0.3549771573
353	0.3549585414
