iter	Passed	Remaining
469	768	866
470	770	864
471	772	863
472	773	862
473	776	861
474	777	859
475	779	858
476	781	856
477	783	855
478	785	853
479	787	852
480	789	851
481	791	850
482	793	849
483	795	847
484	796	846
485	798	844
486	800	843
487	802	842
488	804	840
489	806	839
490	809	838
491	811	837
492	813	836
493	814	834
494	816	833
495	818	831
496	820	830
497	822	828
498	824	827
499	825	825
500	827	824
501	829	822
502	831	821
503	833	819
504	835	818
505	837	817
506	839	816
507	841	814
508	842	813
509	844	811
510	846	809
511	848	808
512	850	806
513	851	805
514	854	804
515	855	802
516	857	801
517	859	800
518	861	798
519	863	796
520	865	795
521	867	794
522	869	792
523	870	790
524	872	789
525	874	787
526	876	786
527	878	785
528	879	783
529	881	781
530	883	780
531	886	779
532	887	777
533	889	776
534	890	774
535	892	772
536	894	771
537	895	769
538	897	767
539	899	765
540	900	764
541	902	762
542	904	760
543	905	759
544	907	757
545	909	756
546	911	754
547	912	752
548	914	751
549	916	749
550	918	748
551	920	746
552	921	745
553	923	743
554	925	742
555	927	740
556	929	738
557	930	737
558	932	735
559	934	734
560	936	732
561	938	731
562	940	729
563	941	728
564	943	726
565	945	724
566	946	723
567	948	721
568	950	719
569	952	718
570	953	716
571	955	715
572	957	713
573	959	711
574	961	710
575	962	708
576	964	707
577	966	705
578	967	703
579	969	701
580	970	700
581	972	698
582	974	696
583	975	695
584	977	693
585	979	692
586	981	690
587	982	688
588	984	687
589	986	685
590	987	683
591	989	682
592	991	680
593	993	679
594	995	677
595	996	675
596	998	673
597	1000	672
598	1002	671
599	1004	669
600	1006	668
601	1008	666
602	1010	664
603	1011	663
604	1013	661
605	1015	660
606	1016	658
607	1018	656
608	1020	655
609	1022	653
610	1023	651
611	1025	650
612	1027	648
613	1028	646
614	1030	644
615	1032	643
616	1033	641
617	1035	640
618	1037	638
619	1039	636
620	1040	635
621	1042	633
622	1044	631
623	1045	630
624	1047	628
625	1049	627
626	1052	625
627	1053	624
628	1055	622
629	1057	620
630	1058	619
631	1060	617
632	1062	615
633	1064	614
634	1065	612
635	1067	610
636	1068	609
637	1070	607
638	1071	605
639	1073	603
640	1075	602
641	1076	600
642	1078	598
643	1080	597
644	1082	595
645	1083	593
646	1084	591
647	1086	590
648	1088	588
649	1090	587
650	1092	585
651	1093	583
652	1095	582
653	1097	580
654	1098	578
655	1100	577
656	1102	575
657	1104	574
658	1106	572
659	1108	570
660	1109	569
661	1111	567
662	1114	566
663	1116	564
664	1118	563
665	1120	561
666	1121	559
667	1122	558
668	1124	556
669	1125	554
670	1127	552
671	1130	551
672	1131	549
673	1133	548
674	1135	546
675	1137	544
676	1138	543
677	1140	541
678	1142	539
679	1144	538
680	1145	536
681	1147	535
682	1149	533
683	1151	531
684	1152	530
685	1154	528
686	1156	526
687	1157	524
688	1159	523
689	1160	521
690	1162	519
691	1164	518
692	1166	516
693	1167	514
694	1170	513
695	1171	511
696	1173	510
697	1175	508
698	1177	507
699	1179	505
700	1181	504
701	1183	502
702	1185	500
703	1187	499
704	1189	497
705	1190	495
706	1192	494
707	1194	492
708	1196	491
709	1198	489
710	1199	487
711	1201	486
712	1203	484
713	1205	482
714	1206	481
715	1208	479
716	1211	477
717	1212	476
718	1215	474
719	1216	473
720	1218	471
721	1220	469
722	1222	468
723	1224	466
724	1226	465
725	1228	463
726	1230	462
727	1232	460
728	1233	458
729	1235	457
730	1237	455
731	1239	453
732	1241	452
733	1243	450
734	1244	448
735	1246	447
736	1247	445
737	1249	443
738	1251	441
739	1253	440
740	1254	438
741	1256	436
742	1258	435
743	1260	433
744	1261	431
745	1263	430
746	1265	428
747	1267	426
748	1268	425
749	1270	423
750	1272	421
751	1274	420
752	1276	418
753	1278	417
754	1280	415
755	1281	413
756	1283	411
757	1284	410
758	1286	408
759	1288	406
760	1290	405
761	1292	403
762	1294	401
763	1296	400
764	1297	398
